longitude,latitude,score
33.325,28.275,-0.104116527436708
33.375,28.275,-0.111157827334416
33.425,28.275,-0.118134213690905
33.575,28.275,-0.121168163632535
34.425,28.275,-0.100465246840369
34.675,28.275,-0.0871078966927202
129.125,28.275,-0.274318356128387
129.175,28.275,-0.266248755441096
129.525,28.275,-0.20023237022808
129.575,28.275,-0.207059275802014
129.875,28.275,-0.236363649584888
129.925,28.275,-0.23600277945177
129.975,28.275,-0.282893525744187
130.025,28.275,-0.283656865531688
-177.425,28.225,-0.166584938371804
-177.375,28.225,-0.176840843755489
-177.325,28.225,-0.178475318976727
-177.275,28.225,-0.184904410344807
33.175,28.225,-0.0717743716399951
33.225,28.225,-0.0816550173513798
33.275,28.225,-0.0962745759097689
33.375,28.225,-0.106322834862542
33.425,28.225,-0.114712941879149
33.475,28.225,-0.121960041553033
33.575,28.225,-0.127504684160075
34.425,28.225,-0.0970996949118983
34.625,28.225,-0.0877891907928758
34.675,28.225,-0.0787770546071907
129.125,28.225,-0.264923405228785
129.175,28.225,-0.266533117591414
129.525,28.225,-0.216066228119582
129.975,28.225,-0.287869843786851
130.075,28.225,-0.291382300857637
-177.425,28.175,-0.160129146491382
-177.375,28.175,-0.171020738774212
-177.325,28.175,-0.175440448086589
33.225,28.175,-0.0761004102247849
33.275,28.175,-0.086796060050919
33.425,28.175,-0.114058009508039
33.475,28.175,-0.12108781760106
33.525,28.175,-0.128589456171827
33.575,28.175,-0.124246839934851
33.625,28.175,-0.119356223255847
34.425,28.175,-0.0922560462496001
34.475,28.175,-0.0803604871720506
34.575,28.175,-0.0491301278042745
34.625,28.175,-0.0789208534604923
34.675,28.175,-0.0693429941961645
129.125,28.175,-0.249817146731213
129.175,28.175,-0.248847211625276
129.425,28.175,-0.212702131790915
129.475,28.175,-0.211194975588683
129.525,28.175,-0.223072654242476
33.275,28.125,-0.0771972546745587
33.325,28.125,-0.078955316800074
33.625,28.125,-0.123189742379314
33.675,28.125,-0.122950334721136
34.475,28.125,-0.0677690358880999
34.525,28.125,-0.055520986272967
34.575,28.125,-0.0473568030486862
34.625,28.125,-0.0940401351413862
129.175,28.125,-0.234921657120101
129.425,28.125,-0.227012982546037
129.475,28.125,-0.224095452511667
33.325,28.075,-0.106375771296341
33.375,28.075,-0.118134996547614
33.575,28.075,-0.115064022369184
33.625,28.075,-0.118906998596442
33.675,28.075,-0.122770660048078
33.725,28.075,-0.127445054052916
34.475,28.075,-0.0844326849299314
34.525,28.075,-0.0886787389820597
34.575,28.075,-0.0858503754334064
34.625,28.075,-0.0848747857112565
34.675,28.075,-0.099090277669259
34.725,28.075,-0.151277724778918
34.775,28.075,-0.239604621303333
34.825,28.075,-0.246867411625076
34.875,28.075,-0.24949066005578
34.925,28.075,-0.294488092922637
34.975,28.075,-0.343481024124517
35.025,28.075,-0.431513771964994
35.075,28.075,-0.453018254838507
35.125,28.075,-0.440078329195721
48.775,28.075,-0.17647351389283
48.875,28.075,-0.182296932502852
48.925,28.075,-0.172025439859216
129.125,28.075,-0.244994820956786
